emotion,emotion_word,avg_intensity
anger,angry,1.825
anger,annoyed,1.0
anger,annoying,1.2166666666666666
anger,displeasing,1.9833333333333334
anger,enraged,2.9
anger,furious,2.9916666666666667
anger,irritated,1.0
anger,irritating,1.2055555555555555
anger,outrageous,2.338888888888889
anger,vexing,1.8111111111111111
fear,anxious,1.0
fear,discouraged,1.0
fear,dreadful,1.5944444444444446
fear,fearful,1.0208333333333333
fear,horrible,1.488888888888889
fear,scared,1.025
fear,shocking,2.188888888888889
fear,terrified,1.8958333333333333
fear,terrifying,2.327777777777778
fear,threatening,1.7333333333333334
joy,amazing,2.3555555555555556
joy,ecstatic,2.9875
joy,excited,1.2916666666666667
joy,funny,1.211111111111111
joy,glad,1.0958333333333334
joy,great,2.388888888888889
joy,happy,1.8291666666666666
joy,hilarious,2.088888888888889
joy,relieved,1.0208333333333333
joy,wonderful,2.3444444444444446
sadness,depressed,1.0
sadness,depressing,1.1888888888888889
sadness,devastated,2.3041666666666667
sadness,disappointed,1.0
sadness,gloomy,1.4555555555555555
sadness,grim,2.111111111111111
sadness,heartbreaking,2.3333333333333335
sadness,miserable,1.0458333333333334
sadness,sad,1.0375
sadness,serious,2.2777777777777777
