emotion,emotion_word,avg_intensity
anger,angry,3.004166666666667
anger,annoyed,2.066666666666667
anger,annoying,2.8666666666666667
anger,displeasing,2.9555555555555557
anger,enraged,3.904166666666667
anger,furious,3.7125
anger,irritated,2.1333333333333333
anger,irritating,2.988888888888889
anger,outrageous,3.338888888888889
anger,vexing,3.0
fear,anxious,3.0
fear,discouraged,2.808333333333333
fear,dreadful,3.327777777777778
fear,fearful,3.004166666666667
fear,horrible,3.3555555555555556
fear,scared,3.025
fear,shocking,3.3333333333333335
fear,terrified,3.908333333333333
fear,terrifying,3.9555555555555557
fear,threatening,3.5
joy,amazing,3.9722222222222223
joy,ecstatic,4.0
joy,excited,3.5
joy,funny,3.327777777777778
joy,glad,3.675
joy,great,3.95
joy,happy,3.75
joy,hilarious,3.7777777777777777
joy,relieved,3.0
joy,wonderful,4.0
sadness,depressed,3.0
sadness,depressing,3.0
sadness,devastated,3.8291666666666666
sadness,disappointed,2.2375
sadness,gloomy,3.0
sadness,grim,3.0
sadness,heartbreaking,3.522222222222222
sadness,miserable,3.004166666666667
sadness,sad,1.9375
sadness,serious,3.0166666666666666
