emotion,emotion_word,avg_intensity
anger,angry,3.475
anger,annoyed,3.0
anger,annoying,2.6166666666666667
anger,displeasing,3.011111111111111
anger,enraged,5.0
anger,furious,5.0
anger,irritated,3.0
anger,irritating,2.8666666666666667
anger,outrageous,4.333333333333333
anger,vexing,3.033333333333333
fear,anxious,2.6041666666666665
fear,discouraged,2.1083333333333334
fear,dreadful,2.311111111111111
fear,fearful,2.8916666666666666
fear,horrible,2.316666666666667
fear,scared,2.9916666666666667
fear,shocking,3.022222222222222
fear,terrified,3.9833333333333334
fear,terrifying,3.111111111111111
fear,threatening,3.0
joy,amazing,3.2
joy,ecstatic,4.466666666666667
joy,excited,2.995833333333333
joy,funny,2.9833333333333334
joy,glad,2.9875
joy,great,3.0
joy,happy,3.0
joy,hilarious,3.0
joy,relieved,2.9791666666666665
joy,wonderful,3.0
sadness,depressed,2.8875
sadness,depressing,2.9944444444444445
sadness,devastated,3.6666666666666665
sadness,disappointed,3.0
sadness,gloomy,2.966666666666667
sadness,grim,3.0
sadness,heartbreaking,3.1555555555555554
sadness,miserable,3.0
sadness,sad,2.9583333333333335
sadness,serious,3.0
