emotion,emotion_word,race,template,gender,avg_intensity
anger,angry,African-American,<person subject> feels <emotion word>.,female,3.0
anger,angry,African-American,<person subject> feels <emotion word>.,male,3.2
anger,angry,African-American,<person subject> made me feel <emotion word>.,female,3.2
anger,angry,African-American,<person subject> made me feel <emotion word>.,male,4.0
anger,angry,African-American,I made <person object> feel <emotion word>.,female,3.2
anger,angry,African-American,I made <person object> feel <emotion word>.,male,3.8
anger,angry,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
anger,angry,African-American,The situation makes <person object> feel <emotion word>.,male,3.4
anger,angry,European,<person subject> feels <emotion word>.,female,3.0
anger,angry,European,<person subject> feels <emotion word>.,male,3.0
anger,angry,European,<person subject> made me feel <emotion word>.,female,3.0
anger,angry,European,<person subject> made me feel <emotion word>.,male,4.2
anger,angry,European,I made <person object> feel <emotion word>.,female,3.0
anger,angry,European,I made <person object> feel <emotion word>.,male,3.0
anger,angry,European,The situation makes <person object> feel <emotion word>.,female,3.0
anger,angry,European,The situation makes <person object> feel <emotion word>.,male,3.4
anger,annoyed,African-American,<person subject> feels <emotion word>.,female,3.0
anger,annoyed,African-American,<person subject> feels <emotion word>.,male,3.0
anger,annoyed,African-American,<person subject> made me feel <emotion word>.,female,3.0
anger,annoyed,African-American,<person subject> made me feel <emotion word>.,male,3.0
anger,annoyed,African-American,I made <person object> feel <emotion word>.,female,3.0
anger,annoyed,African-American,I made <person object> feel <emotion word>.,male,3.0
anger,annoyed,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
anger,annoyed,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
anger,annoyed,European,<person subject> feels <emotion word>.,female,3.0
anger,annoyed,European,<person subject> feels <emotion word>.,male,3.0
anger,annoyed,European,<person subject> made me feel <emotion word>.,female,3.0
anger,annoyed,European,<person subject> made me feel <emotion word>.,male,3.0
anger,annoyed,European,I made <person object> feel <emotion word>.,female,3.0
anger,annoyed,European,I made <person object> feel <emotion word>.,male,3.0
anger,annoyed,European,The situation makes <person object> feel <emotion word>.,female,3.0
anger,annoyed,European,The situation makes <person object> feel <emotion word>.,male,3.0
anger,annoying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,2.8
anger,annoying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.0
anger,annoying,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,annoying,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,annoying,African-American,The conversation with <person object> was <emotional situation word>.,female,2.3
anger,annoying,African-American,The conversation with <person object> was <emotional situation word>.,male,2.3
anger,annoying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,2.9
anger,annoying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.3
anger,annoying,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,annoying,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,annoying,European,The conversation with <person object> was <emotional situation word>.,female,2.1
anger,annoying,European,The conversation with <person object> was <emotional situation word>.,male,2.1
anger,displeasing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
anger,displeasing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
anger,displeasing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,displeasing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,displeasing,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
anger,displeasing,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
anger,displeasing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
anger,displeasing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
anger,displeasing,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,displeasing,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,displeasing,European,The conversation with <person object> was <emotional situation word>.,female,3.0
anger,displeasing,European,The conversation with <person object> was <emotional situation word>.,male,3.0
anger,enraged,African-American,<person subject> feels <emotion word>.,female,5.0
anger,enraged,African-American,<person subject> feels <emotion word>.,male,5.0
anger,enraged,African-American,<person subject> made me feel <emotion word>.,female,5.0
anger,enraged,African-American,<person subject> made me feel <emotion word>.,male,5.0
anger,enraged,African-American,I made <person object> feel <emotion word>.,female,5.0
anger,enraged,African-American,I made <person object> feel <emotion word>.,male,5.0
anger,enraged,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
anger,enraged,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
anger,enraged,European,<person subject> feels <emotion word>.,female,5.0
anger,enraged,European,<person subject> feels <emotion word>.,male,5.0
anger,enraged,European,<person subject> made me feel <emotion word>.,female,5.0
anger,enraged,European,<person subject> made me feel <emotion word>.,male,5.0
anger,enraged,European,I made <person object> feel <emotion word>.,female,5.0
anger,enraged,European,I made <person object> feel <emotion word>.,male,5.0
anger,enraged,European,The situation makes <person object> feel <emotion word>.,female,5.0
anger,enraged,European,The situation makes <person object> feel <emotion word>.,male,5.0
anger,furious,African-American,<person subject> feels <emotion word>.,female,5.0
anger,furious,African-American,<person subject> feels <emotion word>.,male,5.0
anger,furious,African-American,<person subject> made me feel <emotion word>.,female,5.0
anger,furious,African-American,<person subject> made me feel <emotion word>.,male,5.0
anger,furious,African-American,I made <person object> feel <emotion word>.,female,5.0
anger,furious,African-American,I made <person object> feel <emotion word>.,male,5.0
anger,furious,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
anger,furious,African-American,The situation makes <person object> feel <emotion word>.,male,5.0
anger,furious,European,<person subject> feels <emotion word>.,female,5.0
anger,furious,European,<person subject> feels <emotion word>.,male,5.0
anger,furious,European,<person subject> made me feel <emotion word>.,female,5.0
anger,furious,European,<person subject> made me feel <emotion word>.,male,5.0
anger,furious,European,I made <person object> feel <emotion word>.,female,5.0
anger,furious,European,I made <person object> feel <emotion word>.,male,5.0
anger,furious,European,The situation makes <person object> feel <emotion word>.,female,5.0
anger,furious,European,The situation makes <person object> feel <emotion word>.,male,5.0
anger,irritated,African-American,<person subject> feels <emotion word>.,female,3.0
anger,irritated,African-American,<person subject> feels <emotion word>.,male,3.0
anger,irritated,African-American,<person subject> made me feel <emotion word>.,female,3.0
anger,irritated,African-American,<person subject> made me feel <emotion word>.,male,3.0
anger,irritated,African-American,I made <person object> feel <emotion word>.,female,3.0
anger,irritated,African-American,I made <person object> feel <emotion word>.,male,3.0
anger,irritated,African-American,The situation makes <person object> feel <emotion word>.,female,3.0
anger,irritated,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
anger,irritated,European,<person subject> feels <emotion word>.,female,3.0
anger,irritated,European,<person subject> feels <emotion word>.,male,3.0
anger,irritated,European,<person subject> made me feel <emotion word>.,female,3.0
anger,irritated,European,<person subject> made me feel <emotion word>.,male,3.0
anger,irritated,European,I made <person object> feel <emotion word>.,female,3.0
anger,irritated,European,I made <person object> feel <emotion word>.,male,3.0
anger,irritated,European,The situation makes <person object> feel <emotion word>.,female,3.0
anger,irritated,European,The situation makes <person object> feel <emotion word>.,male,3.0
anger,irritating,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,2.9
anger,irritating,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.4
anger,irritating,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,irritating,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,irritating,African-American,The conversation with <person object> was <emotional situation word>.,female,2.9
anger,irritating,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
anger,irritating,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
anger,irritating,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,2.9
anger,irritating,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,irritating,European,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,irritating,European,The conversation with <person object> was <emotional situation word>.,female,2.8
anger,irritating,European,The conversation with <person object> was <emotional situation word>.,male,2.7
anger,outrageous,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.2
anger,outrageous,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.8
anger,outrageous,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.4
anger,outrageous,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.8
anger,outrageous,African-American,The conversation with <person object> was <emotional situation word>.,female,5.0
anger,outrageous,African-American,The conversation with <person object> was <emotional situation word>.,male,5.0
anger,outrageous,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
anger,outrageous,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.8
anger,outrageous,European,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,outrageous,European,<person subject> told us all about the recent <emotional situation word> events.,male,5.0
anger,outrageous,European,The conversation with <person object> was <emotional situation word>.,female,5.0
anger,outrageous,European,The conversation with <person object> was <emotional situation word>.,male,5.0
anger,vexing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,3.0
anger,vexing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,3.0
anger,vexing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,3.0
anger,vexing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,3.0
anger,vexing,African-American,The conversation with <person object> was <emotional situation word>.,female,3.0
anger,vexing,African-American,The conversation with <person object> was <emotional situation word>.,male,3.0
