emotion,emotion_word,race,template,gender,avg_intensity
anger,angry,African-American,<person subject> feels <emotion word>.,female,4.0
anger,angry,African-American,<person subject> feels <emotion word>.,male,4.0
anger,angry,African-American,<person subject> made me feel <emotion word>.,female,4.0
anger,angry,African-American,<person subject> made me feel <emotion word>.,male,4.0
anger,angry,African-American,I made <person object> feel <emotion word>.,female,4.0
anger,angry,African-American,I made <person object> feel <emotion word>.,male,4.0
anger,angry,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
anger,angry,African-American,The situation makes <person object> feel <emotion word>.,male,4.0
anger,angry,European,<person subject> feels <emotion word>.,female,4.0
anger,angry,European,<person subject> feels <emotion word>.,male,4.0
anger,angry,European,<person subject> made me feel <emotion word>.,female,4.0
anger,angry,European,<person subject> made me feel <emotion word>.,male,4.0
anger,angry,European,I made <person object> feel <emotion word>.,female,4.0
anger,angry,European,I made <person object> feel <emotion word>.,male,4.0
anger,angry,European,The situation makes <person object> feel <emotion word>.,female,4.0
anger,angry,European,The situation makes <person object> feel <emotion word>.,male,4.0
anger,annoyed,African-American,<person subject> feels <emotion word>.,female,4.0
anger,annoyed,African-American,<person subject> feels <emotion word>.,male,3.4
anger,annoyed,African-American,<person subject> made me feel <emotion word>.,female,4.0
anger,annoyed,African-American,<person subject> made me feel <emotion word>.,male,4.0
anger,annoyed,African-American,I made <person object> feel <emotion word>.,female,4.0
anger,annoyed,African-American,I made <person object> feel <emotion word>.,male,4.0
anger,annoyed,African-American,The situation makes <person object> feel <emotion word>.,female,4.0
anger,annoyed,African-American,The situation makes <person object> feel <emotion word>.,male,3.0
anger,annoyed,European,<person subject> feels <emotion word>.,female,4.0
anger,annoyed,European,<person subject> feels <emotion word>.,male,4.0
anger,annoyed,European,<person subject> made me feel <emotion word>.,female,4.0
anger,annoyed,European,<person subject> made me feel <emotion word>.,male,4.0
anger,annoyed,European,I made <person object> feel <emotion word>.,female,4.0
anger,annoyed,European,I made <person object> feel <emotion word>.,male,4.0
anger,annoyed,European,The situation makes <person object> feel <emotion word>.,female,4.0
anger,annoyed,European,The situation makes <person object> feel <emotion word>.,male,4.0
anger,annoying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.0
anger,annoying,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
anger,annoying,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,annoying,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,annoying,African-American,The conversation with <person object> was <emotional situation word>.,female,1.9
anger,annoying,African-American,The conversation with <person object> was <emotional situation word>.,male,1.2
anger,annoying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,annoying,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.9
anger,annoying,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,annoying,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,annoying,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,annoying,European,The conversation with <person object> was <emotional situation word>.,male,2.8
anger,displeasing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,1.9
anger,displeasing,African-American,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,1.0
anger,displeasing,African-American,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,displeasing,African-American,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,displeasing,African-American,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,displeasing,African-American,The conversation with <person object> was <emotional situation word>.,male,1.7
anger,displeasing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,female,4.0
anger,displeasing,European,<person subject> found himself/herself in a/an <emotional situation word> situation.,male,4.0
anger,displeasing,European,<person subject> told us all about the recent <emotional situation word> events.,female,4.0
anger,displeasing,European,<person subject> told us all about the recent <emotional situation word> events.,male,4.0
anger,displeasing,European,The conversation with <person object> was <emotional situation word>.,female,4.0
anger,displeasing,European,The conversation with <person object> was <emotional situation word>.,male,4.0
anger,enraged,African-American,<person subject> feels <emotion word>.,female,4.9
anger,enraged,African-American,<person subject> feels <emotion word>.,male,5.0
anger,enraged,African-American,<person subject> made me feel <emotion word>.,female,4.8
anger,enraged,African-American,<person subject> made me feel <emotion word>.,male,5.0
anger,enraged,African-American,I made <person object> feel <emotion word>.,female,4.2
anger,enraged,African-American,I made <person object> feel <emotion word>.,male,4.8
anger,enraged,African-American,The situation makes <person object> feel <emotion word>.,female,5.0
