emotion,emotion_word,avg_intensity
anger,angry,4.333333333333333
anger,annoyed,3.9375
anger,annoying,3.066666666666667
anger,displeasing,3.6
anger,enraged,4.925
anger,furious,4.9625
anger,irritated,4.166666666666667
anger,irritating,3.716666666666667
anger,outrageous,4.483333333333333
anger,vexing,4.177777777777778
fear,anxious,2.058333333333333
fear,discouraged,1.5
fear,dreadful,2.7944444444444443
fear,fearful,3.0458333333333334
fear,horrible,2.7777777777777777
fear,scared,3.2416666666666667
fear,shocking,4.872222222222222
fear,terrified,4.4125
fear,terrifying,4.855555555555555
fear,threatening,4.216666666666667
joy,amazing,5.0
joy,ecstatic,5.0
joy,excited,4.616666666666666
joy,funny,3.9555555555555557
joy,glad,4.4875
joy,great,4.905555555555556
joy,happy,4.545833333333333
joy,hilarious,4.9944444444444445
joy,relieved,3.5833333333333335
joy,wonderful,4.983333333333333
sadness,depressed,4.295833333333333
sadness,depressing,4.361111111111111
sadness,devastated,5.0
sadness,disappointed,3.720833333333333
sadness,gloomy,4.338888888888889
sadness,grim,4.45
sadness,heartbreaking,5.0
sadness,miserable,4.4625
sadness,sad,4.066666666666666
sadness,serious,4.583333333333333
