emotion,emotion_word,avg_intensity
anger,angry,4.675
anger,annoyed,3.175
anger,annoying,3.311111111111111
anger,displeasing,3.477777777777778
anger,enraged,5.0
anger,furious,5.0
anger,irritated,3.4
anger,irritating,3.488888888888889
anger,outrageous,4.977777777777778
anger,vexing,3.7555555555555555
fear,anxious,3.0
fear,discouraged,3.0166666666666666
fear,dreadful,2.6666666666666665
fear,fearful,3.2583333333333333
fear,horrible,2.7111111111111112
fear,scared,3.3666666666666667
fear,shocking,4.088888888888889
fear,terrified,4.375
fear,terrifying,4.211111111111111
fear,threatening,3.2
joy,amazing,3.966666666666667
joy,ecstatic,4.941666666666666
joy,excited,3.0
joy,funny,3.0
joy,glad,3.066666666666667
joy,great,3.111111111111111
joy,happy,3.225
joy,hilarious,3.188888888888889
joy,relieved,3.0083333333333333
joy,wonderful,3.1333333333333333
sadness,depressed,3.35
sadness,depressing,3.477777777777778
sadness,devastated,4.9
sadness,disappointed,3.216666666666667
sadness,gloomy,3.3
sadness,grim,3.4555555555555557
sadness,heartbreaking,4.477777777777778
sadness,miserable,3.8333333333333335
sadness,sad,3.2916666666666665
sadness,serious,3.4444444444444446
