,sentence,template,emotion,emotion_word,gender,race,predicted_intensity,predicted_prob_one_exp,predicted_prob_two_exp,predicted_prob_three_exp,predicted_prob_four_exp,predicted_prob_five_exp,gender_calibrate_1_normalized,gender_calibrate_2_normalized,gender_calibrate_3_normalized,gender_calibrate_4_normalized,gender_calibrate_5_normalized,race_calibrate_1_normalized,race_calibrate_2_normalized,race_calibrate_3_normalized,race_calibrate_4_normalized,race_calibrate_5_normalized,1,2,3,4,5,calibrated_intensity
0,Alonzo feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,0.137422549079333,0.162803732300132,0.181497754001714,0.137513772947633,0.157280066463912,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.14621573086682,0.1553363877570565,0.15933401229429012,0.15684823406948123,0.15152303633364902,3
1,Alonzo feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,0.136756432554031,0.156983809995334,0.129308817681969,0.189194744544329,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.1304838036287911,0.13781360793899874,0.1474896606229613,0.18226951956625445,5
2,Alonzo feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,0.149463912985761,0.18782015431404,0.199169989560098,0.134254879484555,0.129431175815773,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.1590275789660378,0.17920537758514427,0.17484818883721612,0.15313113960143102,0.12469351772775493,2
3,Alonzo feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,0.136882949713408,0.160679561262422,0.128531765867819,0.193526601598503,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.13060451780560542,0.141058049618543,0.14660335518447748,0.18644281468602975,5
4,Alonzo feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,0.152241287346006,0.18902482941216,0.199650049008672,0.130659509969674,0.126358926329739,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.16198266766650685,0.18035479765997314,0.1752696254467312,0.14903026048839058,0.12173372389650566,2
5,Alonzo feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,0.160978977026308,0.191080131933214,0.196027190957235,0.144402520166372,0.118871084098108,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.17265972122052514,0.17687571462005305,0.1673814504088833,0.1548314889392343,0.12786805111918798,2
6,Alonzo feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,2,0.150489750515403,0.193778931117367,0.193641106444818,0.144818463036604,0.121202000464556,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.16140938929118367,0.17937389184802316,0.1653440479213189,0.1552774718336982,0.13037538698947865,2
7,Alonzo feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,0.129868263501676,0.167017997986192,0.183436210248083,0.148228244590152,0.151933371444092,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.1392915931372119,0.15460229930416608,0.1566304081535877,0.15893351297678288,0.16343271581917831,5
8,Alonzo feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,0.15511051750141,0.185784663326536,0.192805243615442,0.143682970532558,0.123565858233599,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.16636544227627992,0.17197389785565184,0.16463033095154225,0.15405997234076535,0.13291815749034339,2
9,Alonzo feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,0.158880679798971,0.192278276401417,0.19967408832171,0.139533034402791,0.118956654514768,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.17040917011750378,0.17798479203635684,0.1704954213196399,0.14961032153665021,0.1279600980832986,2
10,Alonzo feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,0.167147604108466,0.168745418369675,0.177632050531761,0.124765163579231,0.137665341588592,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.17601214459302075,0.15093372494012489,0.1515701380834367,0.14012977132864626,0.14814026179189424,1
11,Alonzo feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,0.202277370937473,0.217559370040132,0.203934605051992,0.112307638595573,0.0938129193042041,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.21300499071610263,0.19459518624586983,0.17401362060049352,0.1261381243239732,0.10095112004820168,1
12,Alonzo feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,0.182525498118703,0.190958070731616,0.196158828189619,0.126835069737755,0.113899795951636,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.19220559300350198,0.17080175095338887,0.16737869425016613,0.14245458274510808,0.12256640193973797,1
13,Alonzo feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,2,0.1853157966998,0.208681899169418,0.205270676007167,0.120009064686363,0.100020741450146,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.19514387285461515,0.18665476475466855,0.17515366519581801,0.13478796732539353,0.10763129377417571,1
14,Alonzo feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,2,0.187429688231305,0.195102444882303,0.195049247699349,0.125032872031504,0.111192972066916,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.1973698729452642,0.17450867131989267,0.16643190977280717,0.14043044760015966,0.11965361652635981,1
15,Alonzo feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,0.172459785021494,0.172202098612209,0.184557114448485,0.138601246328174,0.128917604950987,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.1818472705454037,0.1517430773978707,0.15434370583856194,0.1518275622198168,0.1460192769746237,1
16,Alonzo feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,0.128414136042142,0.146883385932937,0.163717466838639,0.135719801722197,0.167534395923698,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.13540408934059203,0.1294324353751095,0.1369156676397356,0.14867114969260853,0.18975881044686935,5
17,Alonzo feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,0.164681676793542,0.18681069520157,0.189210448359826,0.140035964510856,0.124821220680193,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.17364577736203035,0.16461605293532744,0.15823525346340897,0.15339919140728664,0.14137948344402737,1
18,Alonzo feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,0.175340899991266,0.192047181531414,0.192498272369205,0.136557460075348,0.11952785960648,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.18488521294638283,0.16923040175480272,0.1609848355820338,0.14958874335861966,0.13538392715795575,1
19,Alonzo feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,0.156038033025786,0.185713372854268,0.197308497095605,0.140936083484493,0.125863121477886,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.16453163503292262,0.16364910147992134,0.16500758979775432,0.1543852061300657,0.14255959845792526,3
20,Jamel feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,0.126203120822615,0.15907014667404,0.180315785734748,0.13426999743511,0.168199164290837,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.13427841116598363,0.15177405109348646,0.15829638101661356,0.1531483831385435,0.16204245493485778,5
21,Jamel feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,0.132235996556671,0.152740969829054,0.124159282673536,0.200580924539953,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.12617070718440268,0.13408888555367168,0.14161610006943573,0.19323892340723176,5
22,Jamel feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,0.137135402750105,0.187040819472362,0.200449386602615,0.132793020473023,0.138607234031348,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.14591021106184565,0.17846178861793127,0.17597135129849792,0.1514637429508812,0.13353369839182705,2
23,Jamel feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,0.132439439290368,0.157558509628012,0.12374932897157,0.204069429980461,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.1263648185780509,0.138318127671721,0.14114850680350083,0.1965997366907988,5
24,Jamel feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,0.138741623409704,0.184570753723207,0.200100687823411,0.130584049769542,0.137300064010402,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.14761920808780732,0.17610501776522855,0.1756652341463696,0.14894419057059594,0.13227437561157185,2
25,Jamel feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,0.150618173037012,0.189756786094883,0.198456449680801,0.144340368260598,0.125639950285731,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.16154713023841197,0.1756507429891664,0.16945571799688142,0.15476484832866663,0.13514923084649305,2
26,Jamel feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3,0.142316788674318,0.192889845831955,0.195905397909165,0.14486765173842,0.127701981401375,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.1526433917734015,0.17855089893073556,0.16727745515732598,0.1553302130180791,0.13736733041296886,2
27,Jamel feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,0.120300800719646,0.163214955754223,0.182057246528085,0.145428299612207,0.163222137370271,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.12902990874060224,0.15108196568442134,0.15545295442185084,0.1559313517306794,0.17557589184447525,5
28,Jamel feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,0.146853601002564,0.185756166144971,0.19446034858943,0.142176106948899,0.129852186805822,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.1575093982935994,0.17194751908302397,0.16604357301134154,0.15244428078623135,0.13968027789434007,2
29,Jamel feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,0.150724366143423,0.192783072287302,0.202870567868189,0.138909171761712,0.124476305308192,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.16166102878893804,0.1784520626633437,0.17322479462790052,0.14894140259049515,0.1338975133526933,2
30,Jamel feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,0.155903695328774,0.167500339642945,0.177489540245033,0.124411121692551,0.144472832425805,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.1641719240377945,0.1498200688072077,0.15144853669577601,0.13973212981399602,0.15546573284461868,1
31,Jamel feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,0.193478013169374,0.221830833244734,0.207783937746686,0.112655363631188,0.0962806032988465,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.2037389659946276,0.19841578095382736,0.17729818487995352,0.12652867107859697,0.10360656947917368,1
32,Jamel feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,0.170003373161884,0.192340950103822,0.199767337920972,0.128082229929826,0.119839995112113,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.17901936709097713,0.17203866237182308,0.1704577687562548,0.143855328494254,0.1289585893165641,1
33,Jamel feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,2,0.173092023181875,0.210646480185263,0.208796768421907,0.121707177954592,0.104694467913917,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.18227182121268332,0.18841197708987129,0.17816241453242235,0.13669520021910073,0.11266064287466213,2
34,Jamel feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3,0.176385189268024,0.197380113343183,0.198335249660007,0.126723618023727,0.115680210603924,1.0203719967166307,0.8552175048949768,0.8414471476281407,1.1252999027659456,1.1576634479943053,1.085696415473141,0.9336752116997982,0.8651158023540825,1.1209965362181318,0.9945160342548459,0.18573963774774982,0.17654592358013563,0.16923579437262112,0.1423294059509382,0.12448228788201296,1
35,Jamel feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,0.15931750198852,0.17083896351838,0.185804023097081,0.139365291025189,0.138246480003455,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.16798961498829143,0.15054189392964565,0.1553864860220383,0.15266451749148946,0.15658568170007506,1
36,Jamel feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,0.119008709437302,0.143809783578171,0.161153669543418,0.131369094798228,0.178833262797813,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.12548669812853577,0.1267240021808089,0.13477158353468344,0.14390526739574194,0.20255653789625885,5
37,Jamel feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,0.155828552271946,0.186692052057893,0.190571524154817,0.139374308251222,0.13122731900819,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.16431075163501713,0.16451150556988417,0.15937351075982284,0.15267439520531126,0.14863538806960666,2
38,Jamel feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,0.164213560518377,0.191494306858843,0.194104442768317,0.137429227977514,0.12700990543676,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.17315218016239314,0.16874321312639817,0.16232806362473462,0.15054370154921165,0.1438585099959153,1
39,Jamel feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,0.145795372295069,0.184947052050639,0.19916732070012,0.139946873974657,0.134066276575022,1.0240801514166051,0.8375750432211723,0.8246563635041421,1.0963793017275054,1.2173091401305747,1.0847856403706186,0.9248085586138897,0.8479283677839443,1.094474911232833,1.0480025219987141,0.15373143661697689,0.16297382587089093,0.16656210978728916,0.15330159921900338,0.151850949911824,3
40,Alphonse feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,0.128486196583554,0.158356667625075,0.178383384390194,0.133657810252686,0.163623290905234,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.13670757285194032,0.15109329730092447,0.1565999563898506,0.15245012232855365,0.15763407538077112,5
41,Alphonse feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,0.134310203890948,0.154477194801813,0.124538048415933,0.190925686989039,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.1281497765227628,0.1356130900413626,0.14204812034309666,0.18393710313763748,5
42,Alphonse feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,0.139573700253743,0.184535873147072,0.196509009274235,0.132730768421857,0.135208019676309,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.1485045265795949,0.17607173706199683,0.17251215626251795,0.15139273825016433,0.13025890781089466,2
43,Alphonse feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,0.131825355079764,0.156529153813944,0.123938413757638,0.195043123249126,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.1257789006650757,0.13741447245661373,0.14136417694437806,0.18790382605469447,5
44,Alphonse feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,0.142945148389897,0.184689009158227,0.197343542196602,0.128789640428811,0.132069127538745,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.15209170173105244,0.17621784915950384,0.1732447795373556,0.1468974869549616,0.12723491069479068,2
45,Alphonse feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,0.153651243095856,0.186313470233039,0.1939956777124,0.143044529799067,0.124370284225136,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.16480028192614288,0.17246339458426216,0.16564680517020558,0.15337542245027883,0.13378346787754034,2
