,sentence,template,emotion,emotion_word,gender,race,predicted_intensity,predicted_prob_one_exp,predicted_prob_two_exp,predicted_prob_three_exp,predicted_prob_four_exp,predicted_prob_five_exp,gender_calibrate_1_normalized,gender_calibrate_2_normalized,gender_calibrate_3_normalized,gender_calibrate_4_normalized,gender_calibrate_5_normalized,race_calibrate_1_normalized,race_calibrate_2_normalized,race_calibrate_3_normalized,race_calibrate_4_normalized,race_calibrate_5_normalized,1,2,3,4,5,calibrated_intensity
0,Alonzo feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,0.137422549079333,0.162803732300132,0.181497754001714,0.137513772947633,0.157280066463912,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.1552612162747677,0.14749134540574554,0.13979104531581796,0.1788695831384591,0.14368819304038874,4
1,Alonzo feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,0.136756432554031,0.156983809995334,0.129308817681969,0.189194744544329,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.12389390553466921,0.12091020639682547,0.1681970745120111,0.17284485941230324,5
2,Alonzo feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,0.149463912985761,0.18782015431404,0.199169989560098,0.134254879484555,0.129431175815773,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.16886565614467453,0.17015486600161953,0.15340234477989034,0.17463061199587113,0.1182459557284619,4
3,Alonzo feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,0.136882949713408,0.160679561262422,0.128531765867819,0.193526601598503,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.0,0.12400852321443484,0.12375670406119109,0.16718633259798535,0.17680236481408498,5
4,Alonzo feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,0.152241287346006,0.18902482941216,0.199650049008672,0.130659509969674,0.126358926329739,1.0164649141327935,0.8876215335942976,0.8561458235966012,1.1557449575543708,1.0840227711219375,1.1115079963742116,1.02064415002886,0.8996225953644997,1.125455400888431,0.842769857343998,0.1720035583602203,0.17124623625762178,0.15377209046902576,0.16995397319402258,0.1154392047704899,1
5,Alonzo feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,0.160978977026308,0.191080131933214,0.196027190957235,0.144402520166372,0.118871084098108,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.1844820918010372,0.1633678234286025,0.1429023122320483,0.16600216793036762,0.13609109143714365,1
6,Alonzo feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,2,0.150489750515403,0.193778931117367,0.193641106444818,0.144818463036604,0.121202000464556,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.1724614262218889,0.16567521637482502,0.14116287500224148,0.16648032730123002,0.1387596710565303,1
7,Alonzo feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,0.129868263501676,0.167017997986192,0.183436210248083,0.148228244590152,0.151933371444092,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.14882917851715557,0.14279541534932388,0.13372358428200862,0.17040014206212056,0.17394287687732576,5
8,Alonzo feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,0.15511051750141,0.185784663326536,0.192805243615442,0.143682970532558,0.123565858233599,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.17775683047311874,0.15884035544145536,0.1405535374381853,0.1651749884669552,0.14146596406489328,1
9,Alonzo feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,0.158880679798971,0.192278276401417,0.19967408832171,0.139533034402791,0.118956654514768,1.0063393056636825,0.8822936502037384,0.8439097022829926,1.0811400077379472,1.186317334111639,1.1387820562680464,0.9690313706715283,0.863827368186981,1.0633030222153617,0.9650561826580826,0.18207744077846186,0.16439220127439422,0.14556087231910345,0.16040430722454907,0.13618905783062232,1
