,sentence,template,emotion,emotion_word,gender,race,predicted_intensity,predicted_prob_one,predicted_prob_two,predicted_prob_three,predicted_prob_four,predicted_prob_five,predicted_prob_one_exp,predicted_prob_two_exp,predicted_prob_three_exp,predicted_prob_four_exp,predicted_prob_five_exp
0,Alonzo feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,-1.9846948,-1.8152099,-1.706512,-1.9840312,-1.8497272,0.1374225490793330,0.162803732300132,0.18149775400171400,0.1375137729476330,0.1572800664639120
1,Alonzo feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,-1.9895538,-1.8516126,-2.0455518,-1.6649784,1.0,0.1367564325540310,0.15698380999533400,0.1293088176819690,0.18919474454432900
2,Alonzo feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,-1.9007003,-1.6722704,-1.6135966,-2.0080152,-2.044606,0.14946391298576100,0.18782015431404000,0.1991699895600980,0.13425487948455500,0.12943117581577300
3,Alonzo feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,-1.9886291,-1.8283432,-2.0515792,-1.6423403,1.0,0.13688294971340800,0.1606795612624220,0.1285317658678190,0.19352660159850300
4,Alonzo feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,-1.8822886,-1.6658769,-1.6111892,-2.0351605,-2.0686288,0.15224128734600600,0.18902482941216000,0.1996500490086720,0.13065950996967400,0.12635892632973900
5,Alonzo feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,-1.8264815,-1.6550624,-1.6295019,-1.9351506,-2.1297157,0.16097897702630800,0.1910801319332140,0.1960271909572350,0.14440252016637200,0.11887108409810800
6,Alonzo feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,2,-1.8938603,-1.6410373,-1.6417488,-1.9322743,-2.1102967,0.1504897505154030,0.19377893111736700,0.19364110644481800,0.14481846303660400,0.12120200046455600
7,Alonzo feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,-2.0412347,-1.7896537,-1.6958883,-1.909002,-1.8843132,0.12986826350167600,0.16701799798619200,0.18343621024808300,0.1482282445901520,0.15193337144409200
8,Alonzo feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,-1.8636174,-1.683167,-1.6460747,-1.940146,-2.090981,0.1551105175014100,0.18578466332653600,0.19280524361544200,0.14368297053255800,0.12356585823359900
9,Alonzo feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,-1.8396018,-1.6488116,-1.6110688,-1.9694539,-2.1289961,0.15888067979897100,0.19227827640141700,0.1996740883217100,0.13953303440279100,0.11895665451476800
10,Alonzo feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,-1.788878,-1.7793641,-1.728041,-2.081322,-1.9829296,0.16714760410846600,0.16874541836967500,0.17763205053176100,0.12476516357923100,0.13766534158859200
11,Alonzo feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,-1.5981154,-1.5252835,-1.5899559,-2.1865134,-2.3664527,0.20227737093747300,0.2175593700401320,0.2039346050519920,0.1123076385955730,0.09381291930420410
12,Alonzo feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,-1.7008654,-1.6557014,-1.6288306,-2.0648677,-2.1724362,0.18252549811870300,0.1909580707316160,0.1961588281896190,0.12683506973775500,0.11389979595163600
13,Alonzo feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,2,-1.6856939,-1.5669442,-1.5834258,-2.120188,-2.3023777,0.18531579669980000,0.20868189916941800,0.20527067600716700,0.12000906468636300,0.10002074145014600
14,Alonzo feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,2,-1.6743515,-1.6342305,-1.6345032,-2.0791786,-2.1964881,0.18742968823130500,0.19510244488230300,0.19504924769934900,0.12503287203150400,0.11119297206691600
15,Alonzo feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,3,-1.7575912,-1.7590865,-1.6897963,-1.9761542,-2.0485818,0.17245978502149400,0.1722020986122090,0.18455711444848500,0.13860124632817400,0.12891760495098700
16,Alonzo feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,5,-2.0524948,-1.9181163,-1.8096131,-1.9971628,-1.7865666,0.128414136042142,0.14688338593293700,0.1637174668386390,0.13571980172219700,0.16753439592369800
17,Alonzo feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3,-1.8037409,-1.6776595,-1.6648954,-1.965856,-2.0808728,0.16468167679354200,0.1868106952015700,0.18921044835982600,0.14003596451085600,0.1248212206801930
18,Alonzo feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3,-1.7410232,-1.6500142,-1.6476681,-1.9910098,-2.1242058,0.17534089999126600,0.1920471815314140,0.19249827236920500,0.13655746007534800,0.11952785960648000
19,Alonzo feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3,-1.8576555,-1.6835508,-1.6229868,-1.9594488,-2.0725603,0.15603803302578600,0.1857133728542680,0.19730849709560500,0.14093608348449300,0.1258631214778860
20,Jamel feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3,-2.0698626,-1.83841,-1.7130456,-2.0079026,-1.7826065,0.12620312082261500,0.15907014667404000,0.1803157857347480,0.1342699974351100,0.16819916429083700
21,Jamel feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,5,0.0,-2.0231671,-1.8790118,-2.08619,-1.6065375,1.0,0.13223599655667100,0.15274096982905400,0.12415928267353600,0.20058092453995300
22,Jamel feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,3,-1.9867865,-1.6764284,-1.6071935,-2.0189636,-1.976111,0.13713540275010500,0.1870408194723620,0.20044938660261500,0.1327930204730230,0.1386072340313480
23,Jamel feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,5,0.0,-2.0216298,-1.8479584,-2.0894973,-1.589295,1.0,0.1324394392903680,0.1575585096280120,0.1237493289715700,0.2040694299804610
24,Jamel feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,3,-1.9751419,-1.6897224,-1.6089346,-2.0357382,-1.9855865,0.13874162340970400,0.1845707537232070,0.20010068782341100,0.13058404976954200,0.1373000640104020
25,Jamel feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,3,-1.8930073,-1.6620121,-1.6171856,-1.9355811,-2.074335,0.1506181730370120,0.18975678609488300,0.19845644968080100,0.14434036826059800,0.12563995028573100
26,Jamel feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3,-1.9496998,-1.645636,-1.6301234,-1.9319347,-2.058056,0.1423167886743180,0.19288984583195500,0.1959053979091650,0.14486765173842000,0.12770198140137500
27,Jamel feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,3,-2.11776,-1.8126872,-1.7034341,-1.9280721,-1.8126432,0.12030080071964600,0.16321495575422300,0.18205724652808500,0.14542829961220700,0.16322213737027100
28,Jamel feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3,-1.9183191,-1.6833204,-1.637527,-1.9506888,-2.0413585,0.14685360100256400,0.1857561661449710,0.19446034858943000,0.1421761069488990,0.12985218680582200
29,Jamel feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,3,-1.8923025,-1.6461897,-1.5951871,-1.973935,-2.0836399,0.1507243661434230,0.19278307228730200,0.20287056786818900,0.13890917176171200,0.12447630530819200
30,Jamel feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,3,-1.8585168,-1.7867699,-1.7288436,-2.0841637,-1.9346638,0.15590369532877400,0.16750033964294500,0.17748954024503300,0.12441112169255100,0.14447283242580500
31,Jamel feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,2,-1.6425914,-1.5058402,-1.5712565,-2.183422,-2.3404884,0.19347801316937400,0.2218308332447340,0.20778393774668600,0.11265536363118800,0.09628060329884650
32,Jamel feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3,-1.771937,-1.6484857,-1.6106019,-2.0550828,-2.1215978,0.1700033731618840,0.19234095010382200,0.19976733792097200,0.12808222992982600,0.11983999511211300
33,Jamel feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,2,-1.7539319,-1.557574,-1.5663939,-2.1061373,-2.256709,0.17309202318187500,0.2106464801852630,0.2087967684219070,0.12170717795459200,0.10469446791391700
34,Jamel feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3,-1.7350851,-1.6226239,-1.6177965,-2.0657468,-2.1569257,0.17638518926802400,0.19738011334318300,0.19833524966000700,0.12672361802372700,0.11568021060392400
