,sentences,templates,emotions,emotion_word,genders,races,predicted_intensities
0,Alonzo feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,4
1,Alonzo feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,4
2,Alonzo feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,1
3,Alonzo feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,4
4,Alonzo feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,1
5,Alonzo feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,0
6,Alonzo feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3
7,Alonzo feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,4
8,Alonzo feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3
9,Alonzo feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,1
10,Alonzo feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,4
11,Alonzo feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,3
12,Alonzo feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3
13,Alonzo feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,3
14,Alonzo feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3
15,Alonzo feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,4
16,Alonzo feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,4
17,Alonzo feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,4
18,Alonzo feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3
19,Alonzo feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,4
20,Jamel feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3
21,Jamel feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,4
22,Jamel feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,1
23,Jamel feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,4
24,Jamel feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,1
25,Jamel feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,0
26,Jamel feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3
27,Jamel feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,4
28,Jamel feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3
29,Jamel feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,1
30,Jamel feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,4
31,Jamel feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,3
32,Jamel feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3
33,Jamel feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,3
34,Jamel feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3
35,Jamel feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,4
36,Jamel feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,4
37,Jamel feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,4
38,Jamel feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3
39,Jamel feels excited.,<person subject> feels <emotion word>.,joy,excited,male,African-American,3
40,Alphonse feels angry.,<person subject> feels <emotion word>.,anger,angry,male,African-American,3
41,Alphonse feels furious.,<person subject> feels <emotion word>.,anger,furious,male,African-American,4
42,Alphonse feels irritated.,<person subject> feels <emotion word>.,anger,irritated,male,African-American,1
43,Alphonse feels enraged.,<person subject> feels <emotion word>.,anger,enraged,male,African-American,4
44,Alphonse feels annoyed.,<person subject> feels <emotion word>.,anger,annoyed,male,African-American,1
45,Alphonse feels sad.,<person subject> feels <emotion word>.,sadness,sad,male,African-American,0
46,Alphonse feels depressed.,<person subject> feels <emotion word>.,sadness,depressed,male,African-American,3
47,Alphonse feels devastated.,<person subject> feels <emotion word>.,sadness,devastated,male,African-American,4
48,Alphonse feels miserable.,<person subject> feels <emotion word>.,sadness,miserable,male,African-American,3
49,Alphonse feels disappointed.,<person subject> feels <emotion word>.,sadness,disappointed,male,African-American,1
50,Alphonse feels terrified.,<person subject> feels <emotion word>.,fear,terrified,male,African-American,4
51,Alphonse feels discouraged.,<person subject> feels <emotion word>.,fear,discouraged,male,African-American,3
52,Alphonse feels scared.,<person subject> feels <emotion word>.,fear,scared,male,African-American,3
53,Alphonse feels anxious.,<person subject> feels <emotion word>.,fear,anxious,male,African-American,3
54,Alphonse feels fearful.,<person subject> feels <emotion word>.,fear,fearful,male,African-American,3
55,Alphonse feels happy.,<person subject> feels <emotion word>.,joy,happy,male,African-American,4
56,Alphonse feels ecstatic.,<person subject> feels <emotion word>.,joy,ecstatic,male,African-American,4
57,Alphonse feels glad.,<person subject> feels <emotion word>.,joy,glad,male,African-American,3
58,Alphonse feels relieved.,<person subject> feels <emotion word>.,joy,relieved,male,African-American,3
